"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Software Developers, Applications";686470;47,85;99530;27,07;35,45;45,92;58,15;71,87;56310;73730;95510;120950;149480
"Software Developers, Systems Software";382400;50,98;106050;30,41;38,72;49,46;61,8;74,42;63250;80530;102880;128540;154800
"Web Developers";121020;33,02;68670;16,25;21,8;30,52;41,69;54,17;33790;45350;63490;86710;112680
"Database and Systems Administrators and Network Architects";617680;40,85;84970;22,82;29,52;38,87;50,54;62,29;47460;61400;80850;105130;129570
"Database Administrators";112170;39,56;82280;21,38;28,42;38,6;49,76;59,51;44470;59100;80280;103500;123780
"Network and Computer Systems Administrators";365430;38,35;79770;22,22;28,3;36,44;46,36;57,69;46220;58860;75790;96430;120000
"Computer Network Architects";140080;48,42;100710;26,52;35,65;47,32;59,57;72,34;55160;74160;98430;123900;150460
"Computer Support Specialists";738030;26,42;54960;14,35;18,46;24,22;32,52;42,68;29850;38400;50380;67640;88780
"Computer User Support Specialists";563540;24,76;51500;13,59;17,6;22,89;29,83;38,55;28280;36610;47610;62050;80180
"Computer Network Support Specialists";174490;31,8;66140;17,25;22,22;29,72;39,33;50;35870;46220;61830;81800;104010
"Miscellaneous Computer Occupations";212510;41,12;85520;21,65;30,59;40,1;51,11;61,01;45030;63630;83410;106300;126900
"Computer Occupations, All Other";212510;41,12;85520;21,65;30,59;40,1;51,11;61,01;45030;63630;83410;106300;126900
"Mathematical Science Occupations";141200;42,08;87530;21,25;28,27;38,59;52,2;67,84;44210;58800;80270;108580;141100
"Actuaries";21490;52,93;110090;27,92;34,8;46,49;65,44;86,87;58080;72390;96700;136110;180680
"Mathematicians";3130;50,17;104350;26,36;35,65;49,86;61,49;75,53;54830;74150;103720;127900;157090
"Operations Research Analysts";86950;39,88;82940;20,58;27,02;36,86;49,25;63,57;42810;56190;76660;102450;132220
"Statisticians";26970;40,39;84010;21,08;28,14;38,46;50,44;62,42;43840;58540;79990;104910;129830
"Miscellaneous Mathematical Science Occupations";2660;34,12;70970;14,94;19,3;29,5;43,88;63,91;31070;40140;61350;91280;132920
"Mathematical Technicians";1060;29,94;62280;14,93;18,04;26,03;37,16;54,78;31060;37530;54140;77290;113950
"Mathematical Science Occupations, All Other";1600;36,9;76740;15,04;20,83;32;47,74;71,02;31280;43330;66560;99300;147720
"Architecture and Engineering Occupations";2418020;39,19;81520;20,01;26,95;36,43;48,52;61,92;41630;56060;75780;100910;128780
"Architects, Surveyors, and Cartographers";160590;35,02;72830;19,08;24,72;32,65;42,84;53,9;39680;51410;67910;89100;112100
"Architects, Except Naval";107000;37,81;78640;21,07;26,91;35,08;45,16;57,43;43820;55970;72960;93930;119450
"Architects, Except Landscape and Naval";88900;38,7;80490;21,61;27,59;35,83;45,82;58,61;44940;57380;74520;95310;121910
"Landscape Architects";18110;33,43;69530;19,56;24,34;31,04;41,08;51,02;40690;50630;64570;85440;106120
"Surveyors, Cartographers, and Photogrammetrists";53580;29,44;61240;16,21;21,05;27,88;36,75;45,29;33720;43790;57990;76450;94200
"Cartographers and Photogrammetrists";11610;31,04;64570;18,56;23,13;29,29;37,57;46,91;38610;48110;60930;78140;97570
"Surveyors";41970;29;60310;15,74;20,51;27,43;36,5;44,89;32740;42670;57050;75920;93370
"Engineers";1574480;45,01;93630;26,28;33,17;42,65;54,47;68,31;54650;69000;88720;113290;142090
"Aerospace Engineers";69080;51,78;107700;31,79;39,66;50,66;62,63;74,63;66110;82500;105380;130260;155240
"Agricultural Engineers";2450;36,27;75440;22,09;27,99;34,48;43,44;54,18;45940;58210;71730;90350;112700
"Biomedical Engineers";20080;44,12;91760;25,33;32,17;41,81;53,24;67;52680;66900;86950;110730;139350
"Chemical Engineers";33470;49,8;103590;28,59;36,27;46,6;59,28;75,47;59480;75440;96940;123300;156980
"Civil Engineers";263460;41,89;87130;25,27;31,13;39,45;50,09;61,59;52570;64740;82050;104190;128110
"Computer Hardware Engineers";76360;53,2;110650;31,77;40,67;52,13;65,31;77,22;66070;84600;108430;135840;160610
"Electrical and Electronics Engineers";308530;46,86;97460;28,95;35,48;44,84;56,3;69,81;60220;73790;93260;117090;145210
"Electrical Engineers";174550;46,05;95780;28,43;34,84;43,95;55,52;68,85;59140;72470;91410;115470;143200
"Electronics Engineers, Except Computer";133990;47,91;99660;29,7;36,36;46,05;57,26;70,95;61780;75640;95790;119100;147570
"Environmental Engineers";53240;41,51;86340;24,09;30,67;40,08;50,32;60,28;50120;63800;83360;104670;125380
"Industrial Engineers, Including Health and Safety";261510;40,91;85080;25,06;31,41;39,19;48,82;59,48;52130;65330;81510;101540;123720
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors";24530;40,79;84850;23,2;30,07;39,34;50,43;60,99;48260;62540;81830;104900;126850
"Industrial Engineers";236990;40,92;85110;25,24;31,52;39,18;48,62;59,33;52510;65560;81490;101140;123400
"Marine Engineers and Naval Architects";7570;47,67;99160;28,42;35,51;44,68;56,21;70,59;59110;73870;92930;116910;146840
"Materials Engineers";24990;43,82;91150;25,62;32,86;42,16;54,15;66,56;53290;68360;87690;112630;138450
"Mechanical Engineers";270700;41,89;87140;25,58;31,79;39,93;50,15;60,79;53210;66110;83060;104310;126430
"Mining and Geological Engineers, Including Mining Safety Engineers";8200;48,54;100970;25,38;32,43;43,34;57,49;76,45;52780;67450;90160;119580;159010
"Nuclear Engineers";16520;50,3;104630;32,16;39,15;48,3;57,79;72,94;66890;81440;100470;120210;151710
"Petroleum Engineers";33740;70,92;147520;35,57;46,82;62,53;89,04;90;73990;97390;130050;185200;187200
"Miscellaneous Engineers";124570;46,32;96350;24,72;33,71;45,31;57,9;70,76;51410;70110;94240;120440;147190
"Engineers, All Other";124570;46,32;96350;24,72;33,71;45,31;57,9;70,76;51410;70110;94240;120440;147190
"Drafters, Engineering Technicians, and Mapping Technicians";682950;26,77;55670;15,67;19,79;25,7;32,52;39,97;32590;41160;53460;67650;83140
"Drafters";199260;26,37;54850;15,97;19,79;24,97;31,27;39,06;33230;41170;51940;65040;81240
"Architectural and Civil Drafters";91520;25,23;52480;15,78;19,37;24,03;29,46;36,37;32820;40290;49970;61280;75650
"Electrical and Electronics Drafters";29390;29,83;62040;17,37;22,12;28,26;36,41;44,83;36130;46010;58790;75740;93250
"Mechanical Drafters";64070;26,57;55260;16,11;19,96;25,1;31,58;39,72;33510;41510;52200;65680;82610
"Drafters, All Other";14270;25,7;53450;15,05;18,46;24,04;31,18;39,07;31290;38400;49990;64860;81250
"Engineering Technicians, Except Drafters";432950;27,61;57430;16,16;20,57;26,77;33,56;40,96;33610;42770;55690;69810;85200
"Aerospace Engineering and Operations Technicians";11230;30,92;64310;18,48;24,19;30,66;38,19;44,87;38440;50310;63780;79450;93330
"Civil Engineering Technicians";71300;24,18;50290;14,93;18,05;23,24;29,1;35,51;31060;37540;48340;60520;73860
"Electrical and Electronics Engineering Technicians";137040;29,01;60330;17,25;22,21;28,76;34,76;42,23;35880;46200;59820;72300;87840
"Electro-Mechanical Technicians";14430;26,73;55600;15,99;19,94;25,52;32,74;39,76;33260;41470;53070;68110;82700
"Environmental Engineering Technicians";18080;24,53;51030;14,54;17,77;23,16;29,7;37,03;30250;36950;48170;61790;77030
"Industrial Engineering Technicians";65680;26,76;55660;16,43;20,43;25,66;31,79;38,81;34180;42490;53370;66130;80730
"Mechanical Engineering Technicians";47560;26,67;55470;16,31;20,3;25,74;32,24;38,3;33920;42210;53530;67060;79670
"Engineering Technicians, Except Drafters, All Other";67640;30,35;63140;16,79;22,58;29,6;36,81;44,84;34920;46970;61580;76560;93260
"Surveying and Mapping Technicians";50750;21,09;43870;12,15;15,31;19,6;25,74;32,36;25270;31840;40770;53540;67320
"Life, Physical, and Social Science Occupations";1144440;33,69;70070;15,47;20,91;29,55;42,33;56,64;32170;43490;61450;88040;117810
"Life Scientists";278790;38,44;79950;19,64;25,01;34,12;46,75;62,09;40850;52020;70960;97230;129150
"Agricultural and Food Scientists";31670;31,85;66250;17,15;21,99;29,18;38,46;51;35670;45750;60690;80000;106080
"Animal Scientists";2350;34,9;72590;18;22,11;29,38;42,34;59,98;37430;45980;61110;88060;124760
"Food Scientists and Technologists";14170;32,15;66870;16,9;22,01;29,56;39,55;51,83;35150;45790;61480;82270;107810
"Soil and Plant Scientists";15150;31,1;64680;17,27;21,96;28,81;37,29;48,29;35920;45670;59920;77550;100440
"Biological Scientists";103210;38,08;79200;19,73;25,32;34,59;46,06;61,15;41030;52670;71940;95800;127200
"Biochemists and Biophysicists";31350;44,21;91960;21,26;28,12;40,84;55,48;71,7;44220;58490;84940;115390;149130
"Microbiologists";20670;36,79;76530;18,67;23,66;32,59;46,77;60,1;38830;49220;67790;97270;125000
"Zoologists and Wildlife Biologists";18970;30,4;63230;18,31;22,27;28,02;35,54;46,5;38080;46310;58270;73930;96720
"Biological Scientists, All Other";32230;37,46;77920;20,42;27,65;35,92;43,23;55,42;42480;57510;74720;89930;115260
"Conservation Scientists and Foresters";28350;30,3;63020;18,24;22,91;29,02;36,23;43,44;37940;47650;60360;75360;90350
"Conservation Scientists";19210;30,97;64420;18,27;23,03;29,74;36,75;44,42;38000;47910;61860;76440;92400
"Foresters";9140;28,88;60070;18,11;22,42;27,87;34,38;41,23;37680;46630;57980;71520;85750
"Medical Scientists";106160;42,95;89340;20,76;26,76;37,94;53,2;70,59;43170;55660;78920;110660;146820
"Epidemiologists";5420;35,63;74120;20,93;25,52;32,41;41,91;54,02;43530;53070;67420;87160;112360
"Medical Scientists, Except Epidemiologists";100740;43,35;90160;20,75;26,86;38,43;53,74;71,25;43150;55870;79930;111790;148210
"Miscellaneous Life Scientists";9400;38,11;79270;20,77;25,36;33,22;46,4;62,08;43210;52750;69100;96510;129120
"Life Scientists, All Other";9400;38,11;79270;20,77;25,36;33,22;46,4;62,08;43210;52750;69100;96510;129120
"Physical Scientists";274510;40,77;84790;20,34;26,43;36,66;50,87;66,76;42300;54970;76260;105800;138850
"Astronomers and Physicists";18450;55,95;116380;26,21;37,97;52,54;69,74;87,59;54510;78980;109290;145060;182190
"Astronomers";1660;51,51;107140;25,08;32,22;50,68;70,1;78,19;52160;67010;105410;145810;162630
"Physicists";16790;56,39;117300;26,41;38,56;52,69;69,72;88,77;54930;80200;109600;145010;184650
"Atmospheric and Space Scientists";10850;42,35;88090;24,05;30,52;42,3;51,87;61,86;50030;63480;87980;107890;128670
"Chemists and Materials Scientists";92870;38,59;80270;20,13;25,98;35,92;48,62;61,36;41870;54040;74720;101120;127630
"Chemists";85970;38,05;79140;19,98;25,68;35,33;47,77;60,68;41560;53420;73480;99360;126220
"Materials Scientists";6900;45,36;94350;23,01;32,34;44,22;56,31;69,21;47860;67280;91980;117130;143960
"Environmental Scientists and Geoscientists";129310;39,09;81320;19,72;25,25;34,28;47,08;64,13;41020;52520;71290;97920;133390
"Environmental Scientists and Specialists, Including Health";88740;34,64;72050;19,1;23,83;31,85;42,3;55,28;39730;49570;66250;87980;114990
"Geoscientists, Except Hydrologists and Geographers";34000;50,67;105390;22,31;29,71;43,22;62,15;90;46400;61800;89910;129270;187200
"Hydrologists";6580;39,39;81930;24,08;30,05;37,68;46,61;56,34;50090;62490;78370;96950;117190
"Miscellaneous Physical Scientists";23030;46;95670;22,31;30,24;45,21;58,78;72,76;46400;62900;94030;122270;151340
"Physical Scientists, All Other";23030;46;95670;22,31;30,24;45,21;58,78;72,76;46400;62900;94030;122270;151340
"Social Scientists and Related Workers";239140;36,72;76380;18,98;25,3;34,15;44,92;56,53;39470;52630;71030;93440;117570
"Economists";18680;50,62;105290;24,25;32,84;46,02;62,44;82,11;50440;68310;95710;129880;170780
"Survey Researchers";15410;26,31;54730;9,13;13,98;23,92;35,34;45,71;19000;29070;49760;73520;95070
"Psychologists";117820;36,44;75790;19,35;25,31;33,99;44,61;54,95;40240;52650;70700;92790;114290
"Clinical, Counseling, and School Psychologists";104730;35,59;74030;19,27;24,99;33,12;43,19;54,63;40080;51980;68900;89830;113640
"Industrial-Organizational Psychologists";1110;43,3;90070;24,99;31,5;36,99;51,07;69,94;51970;65530;76950;106230;145480
"Psychologists, All Other";11980;43,18;89810;20,31;31,45;44,28;51,2;58,01;42230;65420;92110;106500;120670
"Sociologists";2240;37,89;78810;19,03;25,8;35,01;45,88;61,48;39580;53650;72810;95440;127890
"Urban and Regional Planners";35820;33,18;69010;20,3;25,38;32,18;40,17;47,86;42220;52790;66940;83550;99560
"Miscellaneous Social Scientists and Related Workers";49170;37,91;78850;19,83;26,87;36,23;46,36;58,3;41240;55900;75360;96430;121270
"Anthropologists and Archeologists";7040;29,8;61980;16,63;21,15;28,5;37,02;45,03;34580;43990;59280;77000;93650
"Geographers";1260;36,35;75610;20,9;28,41;36,74;43,44;50,32;43480;59100;76420;90350;104670
"Historians";3220;29,41;61180;13,25;17,74;26,86;39,03;48,87;27550;36900;55870;81180;101640
"Political Scientists";5640;50;104000;25,07;36,35;50,44;66,1;74,02;52150;75610;104920;137500;153960
"Social Scientists and Related Workers, All Other";32010;38,48;80040;22,03;28,41;36,36;46,34;56,21;45830;59090;75630;96400;116910
"Life, Physical, and Social Science Technicians";351990;22,35;46480;12,26;15,56;20,49;27,27;35,38;25490;32370;42630;56720;73590
"Agricultural and Food Science Technicians";20640;17,95;37330;10,76;13,35;16,89;21,3;26,53;22380;27770;35140;44310;55170
"Biological Technicians";72640;21,45;44610;12,64;15,67;19,85;25,62;32,65;26300;32590;41290;53300;67920
"Chemical Technicians";63760;22,78;47390;13,03;16,34;21,24;27,97;35,17;27100;33990;44180;58170;73160
"Geological and Petroleum Technicians";16020;28,13;58500;12,83;18,35;26,35;36,17;45,55;26690;38170;54810;75240;94750
"Nuclear Technicians";6380;36,52;75960;22,32;29,27;35,91;42,89;49,23;46430;60880;74690;89220;102400
"Social Science Research Assistants";27780;20,71;43070;9,2;13,84;18,97;25,5;33,45;19130;28790;39460;53050;69570
"Miscellaneous Life, Physical, and Social Science Technicians";144780;22,28;46350;12,38;15,47;20,59;27,13;34,89;25750;32190;42820;56420;72580
"Environmental Science and Protection Technicians, Including Health";33760;22,07;45910;12,82;15,94;20,29;26,75;34,25;26660;33150;42190;55630;71240
"Forensic Science Technicians";13570;28,18;58610;16,16;20,15;26,61;34,72;43,94;33610;41900;55360;72230;91400
"Forest and Conservation Technicians";30310;18,27;37990;12,11;13,6;16,95;21,98;26,28;25180;28280;35260;45710;54660
"Life, Physical, and Social Science Technicians, All Other";67140;23,01;47860;12,2;16,12;21,47;28,23;35,93;25380;33540;44650;58710;74730
"Community and Social Service Occupations";1930750;21,79;45310;11,53;15;19,85;27,06;35,22;23990;31190;41290;56290;73250
"Counselors, Social Workers, and Other Community and Social Service Specialists";1857280;21,78;45310;11,62;15,04;19,85;27,04;35,17;24180;31270;41290;56240;73150
"Counselors";613750;23,09;48030;12,52;16,12;21,4;28,48;36,45;26030;33530;44520;59250;75820
"Substance Abuse and Behavioral Disorder Counselors";85180;20,13;41870;12,17;15,1;18,88;24,05;29,53;25310;31400;39270;50010;61420
"Educational, Guidance, School, and Vocational Counselors";246280;26,94;56040;15,37;19,66;25,66;33,29;41,64;31960;40900;53370;69250;86610
"Marriage and Family Therapists";30150;24,87;51730;14,67;17,91;23,1;30,17;37,94;30510;37250;48040;62750;78920
"Mental Health Counselors";120010;21,15;43990;12,52;15,54;19,64;25,37;32,18;26030;32320;40850;52760;66930
"Rehabilitation Counselors";103890;18,22;37890;10,19;12,79;16,53;21,91;28,75;21200;26590;34380;45570;59810
"Counselors, All Other";28240;22,71;47240;12,55;16,27;21,55;28,15;35;26110;33830;44830;58550;72810
"Social Workers";603300;23,63;49150;13,58;16,83;21,88;28,8;36,47;28240;35010;45500;59900;75850
"Child, Family, and School Social Workers";286520;22,2;46180;13,22;16,15;20,25;26,63;34,86;27500;33590;42120;55400;72510
"Healthcare Social Workers";145920;25,77;53590;15,41;19,41;24,97;30,72;36,99;32060;40380;51930;63890;76940
"Mental Health and Substance Abuse Social Workers";109460;22,03;45820;12,39;15,58;19,9;26,2;33,8;25770;32410;41380;54510;70300
"Social Workers, All Other";61410;28,08;58410;15,85;20,09;28,42;35,47;40,69;32970;41790;59100;73780;84630
"Miscellaneous Community and Social Service Specialists";640230;18,78;39070;10,1;12,74;16,88;22,7;30,31;21020;26500;35110;47230;63030
"Health Educators";57020;26,57;55260;14,25;18,24;24,24;33,16;43,39;29650;37940;50430;68980;90260
"Probation Officers and Correctional Treatment Specialists";86810;25,65;53360;15,78;18,38;23,59;31,4;40,34;32810;38220;49060;65320;83920
"Social and Human Service Assistants";354800;15,32;31860;9,55;11,36;14,32;18,1;22,85;19870;23640;29790;37640;47520
"Community Health Workers";47880;18,35;38180;10;12,94;16,76;22,17;29,02;20790;26910;34870;46100;60360
